m	base2_RES64	seconds
17	0000099A09F6CDBB	0.512475
18	00000BD20FAFEF14	0.301128
47	10AC1C4FA5520BE3	0.294771
62	FE9BB4444857DB67	0.255738
86	ED475B253FF8603B	0.293480
143	0C0506FBACB67C8B	0.422191
162	45EDC6676084FE2F	0.305372
246	D0D2E3F30839CBA7	0.352054
251	257E29C8E8FD32DE	0.468067
257	DBEAA67533AFB91C	0.245273
282	E8031A68357C187B	0.244319
306	D35DD7E1DAE806F8	0.245421
383	22D5D2144E9A51D2	0.363846
395	48FE62345643BFE2	0.279119
410	DEB21FF021769B63	0.419586
413	7A5C791F162E39F9	0.247572
446	FC1F13D8ADAA3F62	0.604320
470	70BA197F71B5B23A	0.291000
503	09C41004CBF2F1BA	0.403098
527	EB57814E84D67521	0.408898
551	B37A42434BF3FB5D	0.276234
563	79F60D7D6A36CD04	0.612645
587	760A8021179629BF	0.701908
593	B41D22B3CD28C085	0.277705
602	B8D1044904C60B8B	0.522675
606	B6EAEC13CB710B0F	0.492489
635	5757DB00BE1E3446	0.624450
642	F0997E448615223D	0.276517
650	CF1DD10E7B1DC185	0.203371
678	304FA54995DB3A5E	0.149872
746	661BEEC3EC94FB2B	0.210033
786	ABC3B8BF596AD514	0.178328
797	DF2ECC58F0621F1F	0.289589
803	A90D2FF2F9F1D55F	0.306201
806	B8420AD5DBFD6FEB	0.502863
815	A75B5B2E70323807	0.470460
845	3C8570B8A3989C3F	0.456476
846	50424220352C06C3	0.520315
887	CEDB48CF1B2A39FA	0.333849
911	004A7403A15F5D62	0.202870
918	A78194BD59ABD8F3	0.569971
947	C6368F98A8182643	0.291281
965	F320951B044C8CB8	0.274825
983	8DA5C4E30D7F6B48	0.272087
1046	2C24FF84CE4BAF76	0.392722
1055	DE4920BBE41A5997	0.246558
1062	09C87153D03399B7	0.331253
1073	032E2BCE43C7FA8F	0.402477
1082	E9C04BDC7083740C	0.283825
1085	5E3C2908ED18EB8A	0.354083
1115	09D371EBE345B5C3	0.195152
1133	531E939C1752F6B0	0.278514
1151	46B8019334CD7FE9	0.434418
1157	AED35D621754495C	0.374799
1182	3A5637950560F670	0.348067
1253	6A028AADE3EC56ED	0.549759
1262	48225787216077D5	0.346758
1265	9C0AF0D70C41AD5D	0.308824
1277	581372897D229840	0.420066
1301	054393F1B50ED334	0.238780
1361	DCD7B729453FEE03	0.592433
1362	FE11B7FDC88D019E	0.654215
1391	71C3F636CAF7F07B	0.347655
1398	680D27A41A84CD14	0.688252
1422	CCFD4F46BB6D8A1B	0.369146
1457	DE3B663CFA67B0E3	0.344956
1493	A8021CBD9AF1FC03	0.205379
1517	4CB458FA4C4A7474	0.246638
1530	A8FDD752E3807696	0.811446
1550	145FD52F0D6193B6	0.611159
1602	7E0D61F01CF49760	0.307740
1661	9C7E674199DED901	0.378669
1685	41970C737B5067D3	0.842047
1686	97F5BC673E935EA9	0.767735
